GAME_ID,PLAYER_ID_x,PLAYER_NAME,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,GAME_DATE,PLAYER_ID_y,DEF_RATING,SHOT_ZONE_AREA_Center(C),SHOT_ZONE_AREA_Left Side Center(LC),SHOT_ZONE_AREA_Left Side(L),SHOT_ZONE_AREA_Right Side Center(RC),SHOT_ZONE_AREA_Right Side(R),SHOT_DIFFICULTY,DEFENDER_IMPACT
22400366,1641764,Brandin Podziemski,Above the Break 3,24+ ft.,0.33783783783783783,88,236,1,20241219,1641764,0.0,0.0,0.0,0.0,1.0,0.0,0.7474747474747475,0.0
22400116,1630311,Pat Spencer,Restricted Area,Less Than 8 ft.,0.04054054054054054,-31,22,1,20241029,1630311,0.5306122448979593,1.0,0.0,0.0,0.0,0.0,0.961038961038961,0.021511307225592947
22400366,203471,Dennis Schröder,Restricted Area,Less Than 8 ft.,0.04054054054054054,28,26,1,20241219,203471,0.9183673469387763,1.0,0.0,0.0,0.0,0.0,0.961038961038961,0.03723110865968012
22400446,1627741,Buddy Hield,In The Paint (Non-RA),Less Than 8 ft.,0.05405405405405406,1,44,1,20241230,1627741,0.46938775510204067,1.0,0.0,0.0,0.0,0.0,0.9487179487179488,0.025372311086596794
22400366,203952,Andrew Wiggins,Restricted Area,Less Than 8 ft.,0.0,0,0,1,20241219,203952,0.6224489795918373,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22400084,1627741,Buddy Hield,Left Corner 3,24+ ft.,0.2972972972972973,-229,-1,1,20241025,1627741,0.46938775510204067,0.0,0.0,1.0,0.0,0.0,0.7708333333333333,0.13954771097628238
22400188,1630541,Moses Moody,Restricted Area,Less Than 8 ft.,0.013513513513513514,-13,9,1,20241108,1630541,0.6122448979591848,1.0,0.0,0.0,0.0,0.0,0.9866666666666666,0.008273579702151146
22400661,203952,Andrew Wiggins,Above the Break 3,24+ ft.,0.35135135135135137,-188,184,1,20250128,203952,0.6224489795918373,0.0,1.0,0.0,0.0,0.0,0.74,0.21869829012686176
22400284,1627780,Gary Payton II,In The Paint (Non-RA),Less Than 8 ft.,0.08108108108108109,19,59,1,20241125,1627780,0.5000000000000018,1.0,0.0,0.0,0.0,0.0,0.9249999999999999,0.04054054054054069
22400258,1630322,Lindy Waters III,In The Paint (Non-RA),8-16 ft.,0.16216216216216217,9,126,1,20241120,1630322,0.5204081632653068,1.0,0.0,0.0,0.0,0.0,0.8604651162790696,0.08439051296194165
